algorithm,time,vector_size
Scalar Product,2.5e-6,50.0
Scalar Product,3.0e-7,50.0
Scalar Product,3.0e-7,50.0
Scalar Product,6.0e-7,50.0
Scalar Product,1.0e-7,50.0
Scalar Product,6.0e-7,50.0
Scalar Product,2.0e-7,50.0
Scalar Product,2.0e-7,50.0
Scalar Product,2.0e-7,50.0
Scalar Product,5.0e-7,50.0
Multiply Matrix,1.9e-6,50.0
Multiply Matrix,1.6e-6,50.0
Multiply Matrix,1.6e-6,50.0
Multiply Matrix,1.6e-6,50.0
Multiply Matrix,1.1e-6,50.0
Multiply Matrix,1.2e-6,50.0
Multiply Matrix,2.0e-6,50.0
Multiply Matrix,1.1e-6,50.0
Multiply Matrix,1.1e-6,50.0
Multiply Matrix,1.1e-6,50.0
Scalar Product,1.8e-6,100.0
Scalar Product,3.0e-7,100.0
Scalar Product,3.0e-7,100.0
Scalar Product,2.0e-7,100.0
Scalar Product,2.0e-7,100.0
Scalar Product,5.0e-7,100.0
Scalar Product,2.0e-7,100.0
Scalar Product,7.0e-7,100.0
Scalar Product,2.0e-7,100.0
Scalar Product,2.0e-7,100.0
Multiply Matrix,3.9e-6,100.0
Multiply Matrix,3.9e-6,100.0
Multiply Matrix,4.1e-6,100.0
Multiply Matrix,4.3e-6,100.0
Multiply Matrix,4.0e-6,100.0
Multiply Matrix,3.9e-6,100.0
Multiply Matrix,3.9e-6,100.0
Multiply Matrix,3.9e-6,100.0
Multiply Matrix,4.9e-6,100.0
Multiply Matrix,4.0e-6,100.0
Scalar Product,1.22e-5,300.0
Scalar Product,4.4e-6,300.0
Scalar Product,2.5e-6,300.0
Scalar Product,1.8e-6,300.0
Scalar Product,1.8e-6,300.0
Scalar Product,1.9e-6,300.0
Scalar Product,1.9e-6,300.0
Scalar Product,4.3e-6,300.0
Scalar Product,2.2e-6,300.0
Scalar Product,2.0e-6,300.0
Multiply Matrix,7.65e-5,300.0
Multiply Matrix,7.11e-5,300.0
Multiply Matrix,7.53e-5,300.0
Multiply Matrix,7.29e-5,300.0
Multiply Matrix,7.86e-5,300.0
Multiply Matrix,0.0001191,300.0
Multiply Matrix,0.0001886,300.0
Multiply Matrix,0.0002022,300.0
Multiply Matrix,0.0001772,300.0
Multiply Matrix,0.0002319,300.0
Scalar Product,1.27e-5,500.0
Scalar Product,1.0e-5,500.0
Scalar Product,5.2e-6,500.0
Scalar Product,2.9e-6,500.0
Scalar Product,2.3e-6,500.0
Scalar Product,2.6e-6,500.0
Scalar Product,4.9e-6,500.0
Scalar Product,3.7e-6,500.0
Scalar Product,3.4e-6,500.0
Scalar Product,2.7e-6,500.0
Multiply Matrix,0.0002202,500.0
Multiply Matrix,0.0002119,500.0
Multiply Matrix,0.0002197,500.0
Multiply Matrix,0.0002534,500.0
Multiply Matrix,0.0003204,500.0
Multiply Matrix,0.0002523,500.0
Multiply Matrix,0.0002494,500.0
Multiply Matrix,0.0002499,500.0
Multiply Matrix,0.0002266,500.0
Multiply Matrix,0.0002177,500.0
Scalar Product,1.21e-5,750.0
Scalar Product,6.0e-6,750.0
Scalar Product,6.2e-6,750.0
Scalar Product,5.5e-6,750.0
Scalar Product,1.5e-5,750.0
Scalar Product,2.16e-5,750.0
Scalar Product,6.7e-6,750.0
Scalar Product,8.2e-6,750.0
Scalar Product,4.6e-6,750.0
Scalar Product,9.4e-6,750.0
Multiply Matrix,0.0006,750.0
Multiply Matrix,0.0005529,750.0
Multiply Matrix,0.0005621,750.0
Multiply Matrix,0.0005481,750.0
Multiply Matrix,0.0005791,750.0
Multiply Matrix,0.000591,750.0
Multiply Matrix,0.0005639,750.0
Multiply Matrix,0.000599,750.0
Multiply Matrix,0.0005564,750.0
Multiply Matrix,0.0005815,750.0
Scalar Product,2.99e-5,1000.0
Scalar Product,5.8e-6,1000.0
Scalar Product,5.4e-6,1000.0
Scalar Product,5.5e-6,1000.0
Scalar Product,1.99e-5,1000.0
Scalar Product,7.0e-6,1000.0
Scalar Product,6.2e-6,1000.0
Scalar Product,5.3e-6,1000.0
Scalar Product,6.9e-6,1000.0
Scalar Product,5.1e-6,1000.0
Multiply Matrix,0.0007225,1000.0
Multiply Matrix,0.0007727,1000.0
Multiply Matrix,0.0007426,1000.0
Multiply Matrix,0.0007217,1000.0
Multiply Matrix,0.000666,1000.0
Multiply Matrix,0.0006986,1000.0
Multiply Matrix,0.0009874,1000.0
Multiply Matrix,0.0012542,1000.0
Multiply Matrix,0.0012199,1000.0
Multiply Matrix,0.0045995,1000.0
