size,naive,better,blas
2,0.000000,0.000000,0.000002
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
12,0.000001,0.000001,0.000000
12,0.000001,0.000001,0.000000
12,0.000001,0.000001,0.000000
12,0.000001,0.000001,0.000000
12,0.000001,0.000001,0.000000
12,0.000001,0.000001,0.000000
12,0.000001,0.000001,0.000000
12,0.000001,0.000001,0.000000
12,0.000001,0.000001,0.000000
12,0.000001,0.000001,0.000000
22,0.000005,0.000006,0.000000
22,0.000005,0.000005,0.000000
22,0.000006,0.000005,0.000000
22,0.000005,0.000005,0.000000
22,0.000005,0.000005,0.000000
22,0.000005,0.000005,0.000000
22,0.000005,0.000005,0.000000
22,0.000005,0.000005,0.000000
22,0.000005,0.000005,0.000000
22,0.000005,0.000005,0.000000
32,0.000016,0.000014,0.000000
32,0.000015,0.000016,0.000000
32,0.000014,0.000015,0.000000
32,0.000014,0.000014,0.000000
32,0.000018,0.000018,0.000000
32,0.000019,0.000020,0.000000
32,0.000018,0.000020,0.000000
32,0.000015,0.000018,0.000000
32,0.000015,0.000013,0.000000
32,0.000014,0.000015,0.000000
42,0.000036,0.000028,0.000000
42,0.000033,0.000033,0.000000
42,0.000031,0.000030,0.000001
42,0.000038,0.000030,0.000000
42,0.000030,0.000029,0.000000
42,0.000031,0.000030,0.000000
42,0.000030,0.000032,0.000000
42,0.000037,0.000031,0.000000
42,0.000030,0.000034,0.000000
42,0.000032,0.000029,0.000000
52,0.000102,0.000101,0.000002
52,0.000091,0.000088,0.000001
52,0.000074,0.000057,0.000001
52,0.000057,0.000068,0.000001
52,0.000075,0.000061,0.000001
52,0.000060,0.000075,0.000001
52,0.000065,0.000052,0.000000
52,0.000078,0.000062,0.000000
52,0.000052,0.000097,0.000001
52,0.000067,0.000057,0.000000
62,0.000113,0.000117,0.000003
62,0.000106,0.000093,0.000001
62,0.000135,0.000152,0.000001
62,0.000102,0.000091,0.000001
62,0.000089,0.000090,0.000001
62,0.000117,0.000095,0.000001
62,0.000095,0.000091,0.000001
62,0.000093,0.000107,0.000001
62,0.000097,0.000096,0.000001
62,0.000102,0.000100,0.000001
72,0.000154,0.000149,0.000001
72,0.000156,0.000166,0.000001
72,0.000152,0.000154,0.000001
72,0.000160,0.000150,0.000001
72,0.000152,0.000155,0.000001
72,0.000157,0.000159,0.000001
72,0.000165,0.000145,0.000001
72,0.000144,0.000140,0.000001
72,0.000149,0.000155,0.000002
72,0.000138,0.000139,0.000001
82,0.000195,0.000236,0.000007
82,0.000213,0.000197,0.000001
82,0.000197,0.000222,0.000001
82,0.000195,0.000204,0.000001
82,0.000205,0.000200,0.000001
82,0.000195,0.000189,0.000001
82,0.000236,0.000195,0.000001
82,0.000206,0.000209,0.000001
82,0.000218,0.000193,0.000001
82,0.000194,0.000189,0.000001
92,0.000307,0.000300,0.000001
92,0.000389,0.000316,0.000003
92,0.000335,0.000269,0.000002
92,0.000300,0.000284,0.000001
92,0.000284,0.000279,0.000001
92,0.000310,0.000278,0.000001
92,0.000277,0.000269,0.000001
92,0.000270,0.000263,0.000001
92,0.000343,0.000270,0.000001
92,0.000299,0.000307,0.000001
102,0.000459,0.000417,0.000002
102,0.000456,0.000433,0.000001
102,0.000456,0.000387,0.000002
102,0.000431,0.000442,0.000002
102,0.000437,0.000416,0.000002
102,0.000455,0.000432,0.000002
102,0.000409,0.000377,0.000002
102,0.000399,0.000410,0.000002
102,0.000392,0.000374,0.000001
102,0.000400,0.000393,0.000001
